FOOTPRINT,MFGR,PART,QUANTITY,REF,VALUE,VENDOR,VENDORPART
Pin_Headers:Pin_Header_Straight_1x01_Pitch2.54mm,,,6,W1 W2 W3 W4 W5 W6,TEST_1P,,
Utility:trace_narrower_0.3mm,,,7,M1 M2 M3 M4 M5 M6 M7,narrower_0.3mm,,
